timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
1.7e+09,1.27581e-05,-1.67092e-05,-1.42291e-11,-0.000194759,-0.00100644,2.27199e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000885203,5.30574e-05,-1.35015e-08,-0.00025894,-0.00182369,2.01195e-05,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.00164838,-0.00161058,-1.39141e-07,0.00125879,-0.00251468,2.46818e-05,0.999996,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.00112777,-0.00313621,-3.02724e-07,0.00264716,-0.00203312,4.67878e-05,0.999994,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000360429,-0.00212706,-3.19507e-07,0.00171795,-0.00132819,4.37214e-05,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00332465,0.000873388,4.10739e-08,-0.00102583,0.0020387,7.17775e-05,0.999997,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00116125,0.00152715,1.43994e-08,-0.00162681,6.50517e-05,4.69605e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00100754,0.00392466,-7.23841e-07,-0.00381631,-7.37046e-05,8.08796e-05,0.999993,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000595133,0.00523578,-1.60225e-06,-0.00501292,-0.000448507,9.39529e-05,0.999987,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000816696,0.00266756,-1.08992e-06,-0.00266994,-0.000245053,8.45348e-05,0.999996,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00294958,0.00499447,-2.70677e-06,-0.00479417,0.00170107,4.81619e-05,0.999987,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00347958,0.00548525,-3.12966e-06,-0.00524051,0.00218315,5.03251e-05,0.999984,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00414793,0.00447887,-3.18792e-06,-0.00432123,0.00278921,2.38707e-05,0.999987,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00330092,0.00254107,-1.89707e-06,-0.00255184,0.00201393,3.97932e-05,0.999995,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00199961,0.00163359,-1.24322e-06,-0.00172326,0.000825274,0.000104821,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00195062,0.00158041,-1.66707e-06,-0.00167698,0.000779642,9.82966e-05,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00206316,0.00153854,-2.15507e-06,-0.00164126,0.000880843,8.73555e-05,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.0019043,0.00248669,-2.61662e-06,-0.00250613,0.000733934,0.000118287,0.999997,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00237209,0.00200086,-2.68329e-06,-0.00206205,0.00115868,9.29723e-05,0.999997,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00233801,0.00141949,-2.61308e-06,-0.00153126,0.00112437,8.52561e-05,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00251651,0.000596991,-2.31825e-06,-0.000781973,0.00128349,8.04287e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00197883,0.00129995,-1.90505e-06,-0.00142571,0.000789265,0.000109094,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00154057,0.00126154,-1.64078e-06,-0.00139124,0.000385953,9.73548e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00100828,0.000972077,-1.68621e-06,-0.00112769,-0.000101645,8.29779e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00110299,0.000485689,-1.92049e-06,-0.000684964,-1.5915e-05,8.78787e-05,1,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00107219,0.000483423,-1.96935e-06,-0.000685576,-4.53157e-05,8.13181e-05,1,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00116661,0.000319588,-1.95941e-06,-0.000537925,4.01748e-05,9.22835e-05,1,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000846838,4.97822e-05,-1.71014e-06,-0.000294674,-0.000254379,8.45994e-05,1,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00033676,-0.00012692,-1.58735e-06,-0.000139764,-0.0007217,1.41046e-05,1,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,8.58939e-05,1.27157e-05,-1.31722e-06,-0.000274451,-0.000950724,-1.79962e-05,1,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000297737,0.000270505,-5.33872e-07,-0.000514406,-0.000753491,-3.95428e-06,1,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000209727,6.47433e-05,-3.6338e-07,-0.000329066,-0.000832771,-1.87523e-05,1,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,6.49012e-05,0.000116906,-4.36145e-07,-0.000380542,-0.000965414,-2.25584e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-8.30834e-05,2.54794e-05,-7.41905e-07,-0.00030032,-0.00110087,-4.66971e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-8.48372e-05,-0.000138893,-1.21787e-06,-0.000153275,-0.00110185,-4.06698e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,5.06585e-05,-3.55608e-05,-1.42979e-06,-0.000252717,-0.000976954,-1.79035e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-6.81033e-05,0.000102816,-1.52432e-06,-0.000385171,-0.00108734,-5.38741e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000126763,0.000229525,-1.43537e-06,-0.000505294,-0.00114126,-7.67167e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000206218,0.000258978,-1.54469e-06,-0.000534421,-0.00121367,-9.50415e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000209737,0.000344236,-1.39389e-06,-0.000615131,-0.0012156,-0.000119825,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000460257,0.000144214,-1.30859e-06,-0.000431773,-0.00144597,-0.000108078,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000506862,9.60023e-05,-9.23757e-07,-0.000389684,-0.00148539,-0.000109263,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000591036,4.95489e-05,-2.39827e-07,-0.00035028,-0.00155978,-0.000107502,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.00053921,3.65382e-06,1.68922e-07,-0.00031074,-0.00150861,-9.38587e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000572621,-9.96371e-07,-1.70447e-07,-0.000308791,-0.00153643,-8.1982e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.00058128,1.01909e-05,1.38948e-09,-0.000321188,-0.00154113,-7.33205e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000608955,-6.8053e-05,-4.38377e-09,-0.000249772,-0.00156441,-4.9029e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000624173,2.85515e-05,-2.9146e-07,-0.000342818,-0.00157584,-6.66451e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000508034,0.000211791,-1.99203e-07,-0.000516206,-0.00146603,-9.45765e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000501303,0.000494825,-3.39052e-07,-0.000758458,-0.00146304,-0.000167408,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000447136,0.000524568,-7.60728e-07,-0.000778924,-0.00142379,-0.000181831,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000440152,0.000510566,-7.09467e-07,-0.000764517,-0.00141408,-0.000166386,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.00043749,0.000515164,-4.98899e-07,-0.000772176,-0.00141495,-0.000172054,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000430828,0.000537995,-3.96063e-07,-0.000793703,-0.00141041,-0.000179149,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000441962,0.000577783,1.86111e-08,-0.000830079,-0.00141852,-0.000195196,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000427505,0.000590413,-1.64461e-07,-0.000835101,-0.00140168,-0.000201747,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000458638,0.000614714,-6.00569e-07,-0.000852563,-0.0014387,-0.000229003,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000472729,0.00063045,-1.02776e-06,-0.000865584,-0.00144782,-0.000223187,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000494466,0.000623079,-1.21744e-06,-0.000855432,-0.00145852,-0.000232957,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000531648,0.00061851,-1.36365e-06,-0.000854833,-0.00148677,-0.000238451,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000560221,0.000609512,-1.38824e-06,-0.000841274,-0.0015025,-0.000263842,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000568801,0.000610921,-1.37619e-06,-0.000844504,-0.00150232,-0.00027355,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000589505,0.000624187,-1.22051e-06,-0.000858711,-0.00152404,-0.000289995,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000588983,0.000656133,-1.27144e-06,-0.000894408,-0.00152558,-0.00029702,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000601856,0.0006616,-1.51406e-06,-0.000898275,-0.00153329,-0.000311038,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000617888,0.000654895,-1.45748e-06,-0.000899858,-0.00155216,-0.000314756,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000653561,0.000674687,-9.64036e-07,-0.000923528,-0.00158548,-0.000317594,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000701582,0.000690167,-5.84983e-07,-0.000947036,-0.00162829,-0.000309292,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000736341,0.000680334,-4.97359e-07,-0.000932423,-0.00165272,-0.000342696,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000763367,0.000685411,-4.88219e-07,-0.000935173,-0.00167052,-0.000354013,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000801199,0.000686156,-7.80047e-07,-0.00093441,-0.00170749,-0.000367346,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000856848,0.000723123,-9.84256e-07,-0.000970184,-0.00176062,-0.000398806,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000882589,0.000763967,-1.14875e-06,-0.00101125,-0.00178365,-0.000410319,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000907025,0.000801789,-9.98145e-07,-0.00105125,-0.00180593,-0.00042259,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000910799,0.000836524,-1.38064e-06,-0.00107414,-0.00180729,-0.000420842,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000928029,0.000845141,-1.76983e-06,-0.00108008,-0.00182111,-0.000416845,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.00094657,0.00084469,-1.71833e-06,-0.00108024,-0.00183969,-0.00041595,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000961637,0.000864465,-1.57934e-06,-0.00110368,-0.00184878,-0.000407982,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000976549,0.000872167,-1.22346e-06,-0.00110586,-0.00186109,-0.000394345,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000981439,0.000853539,-9.28593e-07,-0.00108673,-0.00185984,-0.000402108,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.00100852,0.000845241,-8.23106e-07,-0.00107839,-0.00188219,-0.000435388,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.00101227,0.000852916,-6.69584e-07,-0.0010841,-0.0018838,-0.000430644,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.00100212,0.000857229,-4.56354e-07,-0.00108428,-0.00187877,-0.000418297,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000972297,0.00085516,-1.11615e-07,-0.00108154,-0.00185218,-0.000399023,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000926104,0.000859729,4.1562e-08,-0.00108282,-0.00182162,-0.000370129,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.00085907,0.000881522,1.6657e-07,-0.00110891,-0.00176802,-0.00037522,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000793833,0.000869848,1.98704e-07,-0.00109484,-0.00171221,-0.000329133,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000763443,0.000854219,5.32094e-07,-0.00107432,-0.00168901,-0.000304225,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.00072817,0.000853933,8.26981e-07,-0.00107322,-0.00165889,-0.000286259,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000689611,0.000858184,8.64903e-07,-0.0010791,-0.00162339,-0.000278404,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000657518,0.000863179,7.29181e-07,-0.00108031,-0.0016055,-0.000259009,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000617213,0.000857877,5.64584e-07,-0.00107504,-0.00158779,-0.000237706,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.00057896,0.000850978,4.12549e-07,-0.00106672,-0.00156442,-0.000209224,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000526348,0.000847181,1.18945e-08,-0.00106309,-0.00152019,-0.00018857,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000475165,0.000816223,-2.11075e-07,-0.00103111,-0.00147892,-0.000155974,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000437813,0.00079319,-4.99338e-07,-0.00101015,-0.00145389,-0.000134255,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000423939,0.000765955,-9.08943e-07,-0.000986398,-0.00145529,-9.61108e-05,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000403981,0.000750308,-1.36798e-06,-0.000976559,-0.00143997,-9.1066e-05,0.999998,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000373393,0.00074,-1.68744e-06,-0.000962468,-0.001411,-7.55396e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000351305,0.00074295,-1.8447e-06,-0.000965173,-0.00139574,-5.60997e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000329669,0.000750089,-2.06707e-06,-0.000971881,-0.00137166,-5.9697e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000342584,0.000749229,-1.92799e-06,-0.000965969,-0.00138215,-5.95455e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000334105,0.000769314,-1.89398e-06,-0.000983792,-0.00137244,-4.69368e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000328161,0.000780056,-1.52059e-06,-0.000993675,-0.00137026,-4.31082e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000340741,0.000764663,-5.37821e-07,-0.000983632,-0.00139018,-3.91564e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000335193,0.000756642,2.53151e-07,-0.000986476,-0.0013832,-5.04298e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000347033,0.000744487,6.0068e-07,-0.000978584,-0.00139497,-4.75457e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000342515,0.00073238,4.71803e-07,-0.000971974,-0.00138618,-5.96094e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000333355,0.00071727,5.2206e-07,-0.000964846,-0.00136752,-8.49268e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000346165,0.00068566,7.38936e-07,-0.000936157,-0.00138386,-9.00089e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000349472,0.000667519,8.94857e-07,-0.00092486,-0.0013851,-9.98494e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000386238,0.000628991,1.21074e-06,-0.000896916,-0.00141179,-0.000114751,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000391192,0.000597571,1.21276e-06,-0.000876824,-0.00141255,-0.000136552,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.0003896,0.000571043,1.05703e-06,-0.000852266,-0.00140325,-0.00015196,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000390897,0.000564904,9.12484e-07,-0.00085052,-0.00140341,-0.000158112,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000399292,0.000592943,6.50924e-07,-0.0008862,-0.00140233,-0.000135957,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000411451,0.000596451,4.44704e-07,-0.000890052,-0.00141535,-0.000132241,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000407125,0.000584062,3.97858e-07,-0.000880787,-0.00141373,-0.000132261,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000387195,0.000584093,-1.09649e-08,-0.000882741,-0.00139214,-0.000137833,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.0003981,0.000571096,-4.19522e-07,-0.000865451,-0.00140401,-0.00012504,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000400359,0.000531769,-7.21305e-07,-0.000829182,-0.00140967,-0.000120245,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000412025,0.000499045,-8.77543e-07,-0.000796338,-0.00142247,-0.000129325,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000442876,0.000474215,-7.9242e-07,-0.000780838,-0.00145192,-0.000119744,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000466132,0.000449582,-3.38471e-07,-0.000761381,-0.00147635,-0.000123167,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000485129,0.00045934,-4.47919e-07,-0.000779295,-0.00148497,-9.89623e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000509118,0.000474025,-5.08502e-07,-0.000801228,-0.00150541,-8.08352e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000522615,0.000454783,-1.72508e-07,-0.000783153,-0.00151537,-8.3429e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000508766,0.000441786,-2.57697e-07,-0.000780106,-0.00150634,-8.75825e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000482282,0.000418724,-5.142e-07,-0.000765282,-0.00148734,-9.89794e-05,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000429469,0.000397357,-5.49669e-07,-0.000757043,-0.00145145,-0.000112967,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000381944,0.000378707,-6.74937e-07,-0.000746662,-0.00142069,-0.000130367,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000324732,0.000372436,-6.57307e-07,-0.000746218,-0.00138367,-0.000159576,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000280571,0.000338303,-5.21534e-07,-0.000719464,-0.00135348,-0.000157796,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000225709,0.000297483,-5.79441e-07,-0.00069005,-0.00131926,-0.000148638,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.000166518,0.000234971,-1.17339e-06,-0.000634266,-0.0012739,-0.00014519,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-0.0001264,0.000169514,-1.5023e-06,-0.000588469,-0.00125763,-0.00011993,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-7.24926e-05,0.000106704,-1.53812e-06,-0.000549925,-0.00122541,-0.000124767,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-3.33599e-05,5.67161e-05,-1.29413e-06,-0.000527099,-0.00120534,-0.000135819,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-1.28664e-05,1.77453e-06,-9.05439e-07,-0.000488461,-0.00119663,-0.000131589,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,3.78987e-05,-4.46062e-05,-6.95891e-07,-0.00046717,-0.00115639,-0.000172648,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,8.78269e-05,-8.95895e-05,-6.73984e-07,-0.000437024,-0.00113082,-0.000161892,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000167992,-0.000115726,-1.26257e-06,-0.000416986,-0.0010735,-0.000156092,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000237104,-0.000157271,-1.96735e-06,-0.000387429,-0.00102662,-0.000138316,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000297555,-0.000216214,-2.1566e-06,-0.000351681,-0.0009863,-0.000151928,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000351512,-0.000267165,-2.19438e-06,-0.000318872,-0.000949914,-0.000173456,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000391907,-0.000295619,-2.24064e-06,-0.00031343,-0.000919979,-0.000199851,1,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000404342,-0.000317083,-2.34772e-06,-0.000305008,-0.000921516,-0.000199132,1,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000395608,-0.000340924,-2.27356e-06,-0.000291776,-0.000938804,-0.000192008,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000396108,-0.000380895,-1.82414e-06,-0.000266693,-0.000927782,-0.000203031,1,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.0003614,-0.000407302,-1.08252e-06,-0.000254348,-0.000946426,-0.000207871,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000343066,-0.000431961,-4.39843e-07,-0.000246483,-0.000956277,-0.000191995,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000311667,-0.000469177,-4.28979e-07,-0.000225596,-0.000981003,-0.00019068,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000286381,-0.000503372,-6.4133e-07,-0.000199,-0.000993462,-0.000201784,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000279334,-0.000534708,-3.36627e-07,-0.00017688,-0.000994706,-0.000209409,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000275158,-0.00055172,-7.74312e-07,-0.000162276,-0.000998089,-0.000217987,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000262757,-0.000562222,-1.34843e-06,-0.000157506,-0.00100532,-0.000201527,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000251431,-0.00057138,-1.51082e-06,-0.000152298,-0.00101175,-0.000211218,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000231752,-0.000576513,-1.21101e-06,-0.000151692,-0.00102657,-0.000209252,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00024052,-0.000575309,-9.3934e-07,-0.000148726,-0.00101356,-0.000200227,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000248216,-0.000598467,-1.13494e-06,-0.000123978,-0.00100111,-0.000204872,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000242435,-0.000584821,-1.19151e-06,-0.000134748,-0.00100415,-0.000200432,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000225156,-0.000596779,-1.20917e-06,-0.000119284,-0.00101563,-0.000213258,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000187665,-0.000600573,-1.05495e-06,-0.000111969,-0.00104059,-0.000230719,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000156073,-0.000598054,-1.12778e-06,-0.000118806,-0.00104998,-0.000203911,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000136182,-0.000593506,-1.46566e-06,-0.000123492,-0.00106303,-0.000201207,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.00012424,-0.000616369,-1.53328e-06,-9.49116e-05,-0.00106667,-0.000230931,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000107142,-0.000631265,-1.66442e-06,-9.82769e-05,-0.00108038,-0.000207703,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,0.000103203,-0.000630322,-1.93797e-06,-9.97452e-05,-0.00108477,-0.000203587,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,8.53036e-05,-0.000656931,-2.07897e-06,-7.73923e-05,-0.00110628,-0.000197997,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,7.21346e-05,-0.000669937,-1.93653e-06,-7.53502e-05,-0.00111824,-0.000198896,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,8.23848e-05,-0.000695965,-1.9226e-06,-5.55876e-05,-0.00110475,-0.000190328,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,6.36217e-05,-0.00071002,-1.77176e-06,-5.42399e-05,-0.00113181,-0.000170039,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,3.43642e-05,-0.000726697,-1.87434e-06,-4.88207e-05,-0.00116048,-0.000157118,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,1.37575e-05,-0.00076224,-1.86154e-06,-2.14229e-05,-0.00117822,-0.000165152,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,2.01855e-06,-0.000781476,-1.83159e-06,-5.94722e-06,-0.00118591,-0.000171059,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-1.49238e-05,-0.000824244,-1.8179e-06,2.89279e-05,-0.00120359,-0.000174966,0.999999,0,0,0.6525,0,0,0.481129,0.87665
1.7e+09,-2.21073e-05,-0.0008562,-1.57577e-06,4.73431e-05,-0.00119798,-0.000191802,0.999999,0,0,0.6525,0,0,0.481129,0.87665
