timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
1.7e+09,-7.98663e-05,-0.000111169,6.29745e-10,-6.01377e-06,-0.000738458,-6.73711e-06,1,0,0,0.6525,0,0,0,1
1.7e+09,0.000195836,0.00068063,1.22992e-08,-0.000733489,-0.000482564,-1.65847e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,0.00181864,0.000381666,1.6747e-08,-0.000463385,0.00100142,-1.17608e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000273595,0.0018974,-4.35074e-08,-0.00185142,-0.000407733,-3.83096e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00129432,0.00484487,-2.75345e-07,-0.00454425,-0.00183619,-7.23857e-05,0.999988,0,0,0.6525,0,0,0,1
1.7e+09,0.00071581,0.00383339,-5.76611e-07,-0.00361817,4.06745e-06,-5.57245e-05,0.999993,0,0,0.6525,0,0,0,1
1.7e+09,-0.00100217,0.00264299,-5.94808e-07,-0.00253064,-0.00156076,-2.5574e-05,0.999996,0,0,0.6525,0,0,0,1
1.7e+09,0.00167816,0.00200769,2.24365e-08,-0.00195112,0.000889312,-3.79757e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,0.00293591,0.00188417,3.05816e-07,-0.00183992,0.00203848,-5.93617e-05,0.999996,0,0,0.6525,0,0,0,1
1.7e+09,0.00218212,0.00168008,6.77154e-07,-0.00165493,0.00135141,-5.45326e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,0.00247261,0.002098,6.8724e-07,-0.00203692,0.00161695,-4.86583e-05,0.999997,0,0,0.6525,0,0,0,1
1.7e+09,0.0035135,0.00127823,2.60471e-07,-0.00128995,0.00256641,-6.0321e-05,0.999996,0,0,0.6525,0,0,0,1
1.7e+09,0.00416433,-0.000513862,-1.08309e-07,0.000341892,0.00315887,-0.000101548,0.999995,0,0,0.6525,0,0,0,1
1.7e+09,0.00301295,0.000129809,-2.53327e-07,-0.00024828,0.00210598,-9.83051e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,0.00227748,0.000489601,-2.57656e-07,-0.000578727,0.00143308,-8.89025e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.00236449,0.00157996,-1.55977e-07,-0.00157229,0.00151061,-1.10638e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,0.00152699,0.00125197,-1.66964e-07,-0.00127371,0.000744214,-3.05133e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000622775,0.00112109,-2.65312e-07,-0.00115476,-8.08542e-05,-5.05604e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000873995,0.00121424,-6.24641e-07,-0.00123892,0.000149128,-3.88104e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000230942,0.00128167,-1.10591e-06,-0.00130006,-0.000437485,-5.16065e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000443002,0.00113864,-1.01069e-06,-0.00116841,-0.000243091,-5.0609e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000543587,0.00165838,-1.02999e-06,-0.00164146,-0.000150291,-5.75052e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,0.000152085,0.000990611,-8.49063e-07,-0.00102964,-0.000507602,-6.0209e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-5.92327e-05,0.0009724,-7.59226e-07,-0.00101297,-0.000700274,-6.81805e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000101324,0.00042512,-4.75506e-07,-0.000511876,-0.000737626,-4.59055e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,5.76765e-05,-4.0779e-05,-4.99091e-07,-8.62412e-05,-0.000591702,-2.49957e-05,1,0,0,0.6525,0,0,0,1
1.7e+09,-0.000456413,0.000139582,-8.22688e-07,-0.000253135,-0.0010617,-3.25321e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000586151,-1.94839e-05,-9.05056e-07,-0.000108489,-0.00117879,-1.81301e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000547266,0.000300663,-9.01872e-07,-0.000404268,-0.00114175,-4.48151e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000496554,0.000167803,-7.87496e-07,-0.000281928,-0.00109414,-1.9951e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000399383,0.000414834,-7.69142e-07,-0.000509761,-0.00100446,-3.20125e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000292208,0.000409288,-4.59446e-07,-0.00050365,-0.00090666,-4.73134e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00049033,0.000354055,-3.77435e-07,-0.000453417,-0.00108929,-2.64342e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000545169,0.000414087,-3.77589e-07,-0.000508719,-0.00113994,-4.00787e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000558801,0.000219836,-4.43183e-08,-0.000329104,-0.00115228,-3.37539e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000709188,0.000185886,2.09586e-07,-0.000299392,-0.00129168,-5.3427e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000950769,0.000297438,2.9608e-07,-0.000403673,-0.0015144,-8.49512e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000985088,0.00030276,3.41454e-07,-0.00040863,-0.00154436,-8.91009e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00105675,0.000247131,3.44657e-07,-0.000356807,-0.00160884,-8.99893e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.0010262,-2.16245e-05,3.72693e-07,-0.00010807,-0.00157885,-8.20729e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00111983,3.10817e-05,1.82542e-07,-0.000158759,-0.00166479,-8.60782e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00119213,-7.63718e-05,-1.05283e-07,-6.00189e-05,-0.00172905,-6.02798e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00109109,9.73547e-05,1.67388e-07,-0.000223058,-0.00163225,-0.000107084,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00124354,-5.94984e-06,4.17533e-07,-0.000125996,-0.00177136,-8.26527e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00124516,-0.000173343,5.0216e-07,2.95821e-05,-0.0017699,-2.86127e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00128367,-0.000374573,3.44006e-07,0.00021525,-0.00180242,3.39069e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00121546,-0.000286382,2.35185e-07,0.00012781,-0.00173584,5.20563e-06,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00125802,-0.000366509,-6.19269e-08,0.000200957,-0.00177266,3.89147e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00120511,-0.000487209,-2.90221e-08,0.000310796,-0.00172123,6.23577e-05,0.999998,0,0,0.6525,0,0,0,1
1.7e+09,-0.00110556,-0.000181798,3.3855e-07,4.41353e-05,-0.00163526,2.34371e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00107745,-0.000105246,4.68844e-07,-2.48524e-05,-0.00161045,5.37914e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00112292,-8.75657e-05,3.16467e-07,-4.40674e-05,-0.00165478,1.43636e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00109369,-6.91475e-05,6.74514e-08,-6.23157e-05,-0.00162634,1.23719e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00114368,-3.43451e-05,2.59226e-07,-9.8084e-05,-0.0016914,-1.09427e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00114177,-9.75456e-06,-2.82696e-08,-0.000121582,-0.00168405,5.90579e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00112353,2.84188e-05,-5.88625e-07,-0.000158148,-0.00165734,1.15309e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00110451,6.09682e-05,-9.72221e-07,-0.000177988,-0.00163882,2.78475e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00106858,0.000101934,-9.49893e-07,-0.000215797,-0.00160454,3.53917e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00105194,0.000148661,-5.73762e-07,-0.000264391,-0.00159001,3.30357e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00104399,0.000175404,9.50833e-08,-0.000295821,-0.00158268,2.5626e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00101388,0.000210022,4.92626e-07,-0.000335201,-0.00154448,2.57404e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00101876,0.000240539,4.41478e-07,-0.000367637,-0.00155315,1.65555e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00100903,0.000289801,-4.98947e-08,-0.000401656,-0.00154651,1.9634e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00098649,0.000336239,-2.75988e-07,-0.000437234,-0.00152417,3.17121e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000995045,0.00037874,-1.44256e-07,-0.000465331,-0.00153361,2.65396e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000983367,0.000421708,4.53806e-08,-0.000505948,-0.00152966,3.27929e-06,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000975886,0.000458988,1.22481e-07,-0.000534439,-0.00150626,5.22144e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00097561,0.000473623,4.03682e-08,-0.000546583,-0.0015141,6.42335e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000970149,0.000473593,-3.50755e-07,-0.000551166,-0.00150299,5.99482e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000975844,0.00046827,-9.00973e-07,-0.000546522,-0.00151243,5.59512e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000942915,0.000480857,-1.45671e-06,-0.000551468,-0.00147759,6.01464e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000918224,0.000511547,-1.77248e-06,-0.000570154,-0.00144753,8.51162e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000921911,0.000552128,-1.61091e-06,-0.000619608,-0.00145246,9.15e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.000948751,0.000561052,-1.55074e-06,-0.000620628,-0.00147364,9.73304e-05,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00099853,0.0005606,-1.35798e-06,-0.000619209,-0.00151949,0.000103978,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00103266,0.000561935,-1.01299e-06,-0.000626278,-0.00154336,0.00013455,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00106218,0.000532784,-4.87586e-07,-0.000600361,-0.00157495,0.000152202,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00108333,0.00051608,-5.21218e-07,-0.00058281,-0.00159244,0.000143414,0.999999,0,0,0.6525,0,0,0,1
1.7e+09,-0.00109605,0.000496498,-7.51242e-07,-0.000561208,-0.00160932,0.000147171,0.999999,0,0,0.6525,0,0,0,1
